time,open,high,low,close
2025-10-14T08:15:00-04:00,46002,46006,45951,45966
2025-10-14T08:30:00-04:00,45963,45968,45798,45826
2025-10-14T08:45:00-04:00,45827,45914,45827,45912
2025-10-14T09:00:00-04:00,45911,45958,45903,45956
2025-10-14T09:15:00-04:00,45957,45990,45898,45909
2025-10-14T09:30:00-04:00,45911,45954,45679,45711
2025-10-14T09:45:00-04:00,45709,45931,45663,45922
2025-10-14T10:00:00-04:00,45917,46046,45891,46038
2025-10-14T10:15:00-04:00,46035,46150,46015,46132
2025-10-14T10:30:00-04:00,46131,46224,46105,46190
2025-10-14T10:45:00-04:00,46192,46250,46185,46244
2025-10-14T11:00:00-04:00,46246,46292,46201,46214
2025-10-14T11:15:00-04:00,46217,46287,46206,46219
2025-10-14T11:30:00-04:00,46222,46348,46217,46331
2025-10-14T11:45:00-04:00,46332,46490,46332,46459
2025-10-14T12:00:00-04:00,46464,46468,46392,46436
2025-10-14T12:15:00-04:00,46436,46550,46429,46514
2025-10-14T12:30:00-04:00,46515,46589,46497,46579
2025-10-14T12:45:00-04:00,46581,46656,46581,46585
2025-10-14T13:00:00-04:00,46584,46634,46526,46621
2025-10-14T13:15:00-04:00,46623,46689,46609,46677
2025-10-14T13:30:00-04:00,46678,46715,46611,46715
2025-10-14T13:45:00-04:00,46716,46743,46692,46704
2025-10-14T14:00:00-04:00,46705,46722,46655,46700
2025-10-14T14:15:00-04:00,46698,46720,46660,46685
2025-10-14T14:30:00-04:00,46683,46707,46642,46657
2025-10-14T14:45:00-04:00,46656,46700,46643,46689
2025-10-14T15:00:00-04:00,46688,46723,46654,46667
2025-10-14T15:15:00-04:00,46667,46682,46644,46649
2025-10-14T15:30:00-04:00,46647,46648,46395,46428
2025-10-14T15:45:00-04:00,46429,46521,46398,46494
2025-10-14T16:00:00-04:00,46493,46550,46438,46464
2025-10-14T16:15:00-04:00,46463,46463,46422,46445
2025-10-14T16:30:00-04:00,46446,46477,46443,46463
2025-10-14T16:45:00-04:00,46465,46496,46462,46481
2025-10-14T18:00:00-04:00,46468,46560,46468,46501
2025-10-14T18:15:00-04:00,46499,46516,46487,46507
2025-10-14T18:30:00-04:00,46508,46519,46496,46508
2025-10-14T18:45:00-04:00,46509,46518,46498,46515
2025-10-14T19:00:00-04:00,46512,46551,46505,46550
2025-10-14T19:15:00-04:00,46551,46572,46529,46537
2025-10-14T19:30:00-04:00,46536,46553,46524,46530
2025-10-14T19:45:00-04:00,46533,46543,46511,46513
2025-10-14T20:00:00-04:00,46512,46527,46482,46500
2025-10-14T20:15:00-04:00,46497,46522,46492,46521
2025-10-14T20:30:00-04:00,46520,46540,46501,46539
2025-10-14T20:45:00-04:00,46542,46560,46529,46554
2025-10-14T21:00:00-04:00,46548,46549,46513,46544
2025-10-14T21:15:00-04:00,46547,46572,46539,46554
2025-10-14T21:30:00-04:00,46553,46562,46541,46554
2025-10-14T21:45:00-04:00,46553,46555,46540,46544
2025-10-14T22:00:00-04:00,46548,46579,46540,46572
2025-10-14T22:15:00-04:00,46569,46595,46568,46581
2025-10-14T22:30:00-04:00,46581,46583,46556,46567
2025-10-14T22:45:00-04:00,46567,46571,46547,46558
2025-10-14T23:00:00-04:00,46557,46561,46550,46554
2025-10-14T23:15:00-04:00,46552,46570,46526,46570
2025-10-14T23:30:00-04:00,46571,46576,46551,46553
2025-10-14T23:45:00-04:00,46549,46566,46539,46559
2025-10-15T00:00:00-04:00,46561,46576,46557,46569
2025-10-15T00:15:00-04:00,46570,46588,46559,46578
2025-10-15T00:30:00-04:00,46581,46595,46578,46591
2025-10-15T00:45:00-04:00,46594,46603,46590,46595
2025-10-15T01:00:00-04:00,46598,46628,46595,46603
2025-10-15T01:15:00-04:00,46603,46615,46597,46607
