time,open,high,low,close
1765157400,47980,47997,47980,47994
1765158300,47993,47998,47980,47986
1765159200,47987,47995,47983,47994
1765160100,47993,47998,47986,47994
1765161000,47997,48000,47988,47995
1765161900,47992,48003,47985,48002
1765162800,48002,48004,47995,47997
1765163700,47998,48013,47998,48012
1765164600,48009,48018,48004,48007
1765165500,48005,48010,47999,48000
1765166400,48003,48008,48002,48007
1765167300,48007,48014,48005,48010
1765168200,48012,48015,48005,48011
1765169100,48009,48015,48006,48011
1765170000,48011,48024,48007,48021
1765170900,48021,48030,48019,48023
1765171800,48025,48028,48020,48026
1765172700,48026,48029,48014,48020
1765173600,48021,48028,48010,48028
1765174500,48029,48030,48019,48019
1765175400,48016,48027,48010,48011
1765176300,48012,48016,48006,48006
1765177200,48005,48020,48001,48018
1765178100,48017,48042,48017,48032
1765179000,48032,48039,48025,48033
1765179900,48032,48032,48014,48018
1765180800,48018,48026,47997,48001
1765181700,48001,48021,47994,48010
1765182600,48008,48012,47991,47996
1765183500,47991,47996,47975,47982
1765184400,47982,48001,47980,47996
1765185300,47995,48015,47992,48014
1765186200,48012,48023,48004,48008
1765187100,48007,48011,47990,47991
1765188000,47993,47995,47983,47989
1765188900,47990,47999,47977,47998
1765189800,47998,48013,47990,48005
1765190700,48006,48022,48005,48020
1765191600,48019,48020,47989,48002
1765192500,48000,48004,47995,48002
1765193400,48003,48011,47996,48007
1765194300,48007,48009,47997,48006
1765195200,48005,48028,47991,48012
1765196100,48012,48023,48009,48017
1765197000,48015,48027,48009,48018
1765197900,48020,48029,48012,48012
1765198800,48012,48023,47998,48020
1765199700,48023,48038,48010,48016
1765200600,48014,48021,47989,48002
1765201500,48001,48032,48001,48022
1765202400,48024,48061,48023,48058
1765203300,48058,48059,48023,48031
1765204200,48032,48035,47825,47889
1765205100,47889,47986,47873,47964
1765206000,47960,47962,47856,47857
1765206900,47858,47933,47846,47894
1765207800,47893,47934,47849,47853
1765208700,47855,47890,47820,47826
1765209600,47825,47864,47754,47825
1765210500,47826,47891,47811,47887
1765211400,47881,47885,47818,47863
1765212300,47863,47865,47783,47827
1765213200,47830,47830,47759,47770
1765214100,47769,47793,47745,47780
1765215000,47779,47814,47767,47799
1765215900,47798,47843,47787,47838
1765216800,47836,47846,47752,47757
1765217700,47759,47774,47706,47710
1765218600,47707,47745,47677,47742
1765219500,47740,47747,47663,47695
1765220400,47696,47721,47678,47690
1765221300,47691,47749,47690,47711
1765222200,47710,47758,47705,47750
1765223100,47749,47750,47708,47725
1765224000,47727,47753,47720,47751
1765224900,47752,47773,47746,47756
1765225800,47755,47761,47724,47760
1765226700,47760,47804,47730,47795
1765227600,47795,47807,47775,47787
1765228500,47785,47816,47781,47803
1765229400,47802,47819,47789,47798
1765230300,47797,47809,47777,47805
1765234800,47798,47806,47780,47785
1765235700,47790,47809,47784,47798
1765236600,47800,47800,47760,47791
1765237500,47791,47824,47788,47823
1765238400,47822,47822,47805,47808
1765239300,47804,47810,47798,47804
1765240200,47803,47810,47793,47801
1765241100,47802,47815,47798,47809
1765242000,47806,47808,47784,47803
1765242900,47803,47809,47794,47796
1765243800,47794,47797,47772,47775
1765244700,47782,47790,47781,47784
1765245600,47788,47793,47778,47793
1765246500,47794,47808,47794,47799
1765247400,47796,47820,47786,47817
1765248300,47818,47819,47798,47803
1765249200,47802,47812,47796,47804
1765250100,47802,47806,47798,47802
1765251000,47805,47813,47802,47805
1765251900,47803,47811,47796,47804
1765252800,47803,47805,47797,47798
1765253700,47796,47802,47794,47799
1765254600,47799,47799,47790,47796
1765255500,47798,47798,47792,47796
1765256400,47795,47797,47788,47792
1765257300,47793,47796,47789,47793
1765258200,47792,47798,47790,47794
1765259100,47795,47800,47788,47790
1765260000,47791,47791,47774,47781
1765260900,47783,47800,47782,47797
1765261800,47799,47817,47792,47817
1765262700,47820,47824,47810,47819
1765263600,47820,47822,47809,47815
1765264500,47813,47818,47808,47812
1765265400,47813,47824,47805,47820
1765266300,47819,47825,47805,47816
1765267200,47816,47834,47809,47822
1765268100,47822,47850,47819,47822
1765269000,47818,47827,47800,47811
1765269900,47808,47827,47808,47820
1765270800,47820,47827,47802,47825
1765271700,47824,47828,47813,47826
1765272600,47827,47832,47802,47805
1765273500,47805,47822,47805,47810
1765274400,47811,47819,47801,47812
1765275300,47814,47823,47801,47823
1765276200,47822,47826,47719,47822
1765277100,47825,47861,47807,47858
1765278000,47859,47863,47830,47839
1765278900,47841,47863,47823,47862
1765279800,47861,47861,47838,47838
1765280700,47841,47856,47834,47836
1765281600,47838,47840,47817,47821
1765282500,47824,47826,47816,47820
1765283400,47820,47820,47786,47792
1765284300,47789,47820,47777,47799
1765285200,47796,47818,47794,47810
1765286100,47809,47816,47781,47794
1765287000,47793,47799,47756,47771
1765287900,47775,47792,47743,47751
1765288800,47749,47759,47735,47741
1765289700,47743,47789,47740,47782
1765290600,47783,47950,47765,47873
1765291500,47870,48004,47829,47953
1765292400,47937,47972,47860,47905
1765293300,47904,47935,47845,47874
1765294200,47875,47916,47857,47912
1765295100,47912,47927,47858,47917
1765296000,47914,47952,47895,47942
1765296900,47942,47981,47918,47923
1765297800,47925,47962,47909,47917
1765298700,47916,47949,47887,47890
1765299600,47890,47917,47860,47860
1765300500,47863,47863,47790,47817
1765301400,47818,47847,47699,47720
1765302300,47721,47728,47654,47713
1765303200,47712,47730,47674,47715
1765304100,47714,47721,47672,47679
1765305000,47680,47694,47616,47624
1765305900,47622,47687,47598,47672
1765306800,47670,47709,47652,47662
1765307700,47660,47673,47644,47651
1765308600,47651,47669,47628,47661
1765309500,47661,47687,47653,47663
1765310400,47663,47681,47654,47658
1765311300,47658,47672,47641,47643
1765312200,47644,47653,47621,47639
1765313100,47640,47658,47584,47619
1765314000,47619,47624,47586,47598
1765314900,47595,47595,47576,47584
1765315800,47582,47588,47577,47583
1765316700,47581,47593,47576,47582
1765321200,47608,47608,47592,47599
1765322100,47601,47608,47572,47600
1765323000,47599,47606,47594,47602
1765323900,47599,47602,47590,47594
1765324800,47591,47629,47591,47618
1765325700,47615,47615,47594,47603
1765326600,47607,47611,47604,47606
1765327500,47606,47606,47588,47589
1765328400,47587,47600,47583,47595
1765329300,47595,47632,47586,47614
1765330200,47616,47620,47602,47612
1765331100,47612,47618,47585,47597
1765332000,47596,47613,47595,47612
