time,open,high,low,close
1764827100,6862.25,6863.5,6862,6862.75
1764828000,6863,6865,6862.75,6863.25
1764828900,6863,6864.5,6861.75,6864.25
1764829800,6864.5,6865.25,6863.75,6864.5
1764830700,6864.5,6866.25,6864.25,6865.25
1764831600,6865.25,6868.5,6864.5,6865
1764832500,6865,6867.75,6865,6866.5
1764833400,6866.5,6866.5,6864.5,6865
1764834300,6865.25,6867,6864.5,6865.5
1764835200,6865.5,6865.5,6859,6861
1764836100,6861,6862.75,6854.25,6857
1764837000,6856.75,6861.75,6855.75,6860
1764837900,6860.25,6861.75,6858,6858.75
1764838800,6859,6862.75,6858,6859.75
1764839700,6859.5,6862.5,6855.75,6862.5
1764840600,6862.75,6870,6862.5,6868.25
1764841500,6868.5,6869.25,6866.25,6868.25
1764842400,6868.5,6869.25,6866.75,6867
1764843300,6867,6868.25,6866.5,6867.75
1764844200,6867.5,6867.5,6863,6863.75
1764845100,6863.75,6864.5,6861.5,6862.5
1764846000,6862.5,6864.25,6860.5,6862.25
1764846900,6862,6862.75,6860,6861.5
1764847800,6861.5,6864.5,6860.75,6862.25
1764848700,6862.25,6865.75,6861.5,6865.25
1764849600,6865.5,6868.5,6864.5,6868.25
1764850500,6868.25,6869.5,6867.25,6868.25
1764851400,6868.25,6870.25,6867,6869.75
1764852300,6869.5,6871.25,6867.5,6868.25
1764853200,6868.25,6868.25,6864.5,6864.75
1764854100,6864.75,6869,6864.5,6868
1764855000,6868,6871,6863,6864.75
1764855900,6864.75,6865.75,6862,6864.25
1764856800,6864.25,6880,6864.25,6879.75
1764857700,6880,6880.75,6874.25,6876.25
1764858600,6876.25,6876.75,6859.5,6861.5
1764859500,6861.5,6864.25,6850.25,6853.5
1764860400,6853.5,6858.25,6849.25,6854.5
1764861300,6854.5,6861.25,6844.5,6858.75
1764862200,6859,6868.75,6856.75,6865.25
1764863100,6865.5,6866.5,6854.25,6855.75
1764864000,6856,6859,6845,6853.25
1764864900,6853.5,6860.5,6851,6856.5
1764865800,6856.25,6859.5,6851.5,6852.75
