time,open,high,low,close,Plot
1764827100,25636.25,25640.5,25634.5,25639.25,NaN
1764828000,25640.25,25655.25,25639.25,25647.25,NaN
1764828900,25646.5,25654.5,25640.25,25654.5,NaN
1764829800,25653.75,25659.5,25650,25653.75,NaN
1764830700,25653.25,25665.75,25652.5,25654.25,NaN
1764831600,25655.25,25669.75,25651.25,25653.75,NaN
1764832500,25653.25,25669.75,25651.25,25665,NaN
1764833400,25664.5,25664.5,25654.5,25657.25,NaN
1764834300,25657.75,25665.25,25652.25,25657,NaN
1764835200,25656,25657.5,25626,25636,NaN
1764836100,25636,25644.5,25603.25,25619.5,NaN
1764837000,25618,25647.5,25611.5,25638.75,NaN
1764837900,25640,25649.25,25627.25,25634,NaN
1764838800,25634.25,25652.25,25628.75,25635.25,NaN
1764839700,25635,25646.25,25611.5,25645.25,NaN
1764840600,25646.25,25692.5,25645.75,25684.25,NaN
1764841500,25684.25,25690.5,25673.75,25684.25,NaN
1764842400,25685,25691.25,25674.75,25675,NaN
1764843300,25674.5,25681.25,25670.75,25679.25,NaN
1764844200,25678.75,25678.75,25654,25657,NaN
1764845100,25656.5,25660,25640.75,25644,NaN
1764846000,25644.75,25653.5,25627,25639.75,NaN
1764846900,25638.5,25642,25626.25,25638.25,NaN
1764847800,25639.25,25654.25,25633,25642.5,NaN
1764848700,25642,25657.5,25638.5,25656,NaN
1764849600,25656,25667.5,25651.75,25664.75,NaN
1764850500,25665.75,25671.5,25657.75,25662.5,NaN
1764851400,25662.5,25670,25655.25,25669.5,NaN
1764852300,25669,25674.5,25657.5,25658.75,NaN
1764853200,25657.75,25661,25637.25,25638.25,NaN
1764854100,25639.25,25657.5,25635.75,25654.75,NaN
1764855000,25653.5,25666.5,25628,25641,NaN
1764855900,25640.5,25643.75,25618.25,25632,NaN
1764856800,25631.75,25732.5,25631.5,25724.25,NaN
1764857700,25724.75,25728.5,25688.75,25711.75,NaN
1764858600,25712,25713,25550.75,25591,NaN
1764859500,25590.75,25608.5,25540.25,25555.5,NaN
1764860400,25555.5,25592,25545.25,25567,NaN
1764861300,25567,25597.5,25520.5,25591,NaN
1764862200,25590.5,25639.25,25579,25630.5,NaN
1764863100,25630.5,25636,25566,25569.75,NaN
1764864000,25569.5,25583.5,25505,25550.5,NaN
1764864900,25551,25597.25,25538.25,25582.5,NaN
1764865800,25582.75,25600.5,25564.5,25569.25,NaN
1764866700,25569.5,25650.25,25569,25642,NaN
1764867600,25641.75,25653.25,25600,25632.25,NaN
1764868500,25632.25,25634.75,25597.25,25600.75,NaN
1764869400,25601,25625.5,25585.75,25613.25,NaN
1764870300,25613.5,25622.5,25599,25617.5,NaN
1764871200,25617.5,25620.5,25574.75,25603,NaN
1764872100,25603,25626.5,25598,25621.25,NaN
1764873000,25621.25,25632.5,25595.5,25600,NaN
1764873900,25600,25611.5,25592.5,25604,NaN
1764874800,25603.75,25612,25583.25,25592.75,NaN
1764875700,25592.75,25592.75,25488.75,25532.5,NaN
1764876600,25532.5,25611.5,25524.75,25591.75,NaN
1764877500,25592,25608,25580.5,25589,NaN
1764878400,25589.25,25593.75,25551.75,25587.75,NaN
1764879300,25587.75,25588,25562,25563.75,NaN
1764880200,25563.5,25583.25,25560.5,25570.5,NaN
1764881100,25570.25,25632.75,25564,25628,NaN
1764882000,25627.75,25635,25617,25632.25,NaN
